"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Description"
"C1,C2,C7,C8,C9,C10,C12,C14,C15,C16,C17,C18,C19,C20","14","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~","Unpolarized capacitor"
"C3,C5,C11,C13","4","10uF","","","","T491A106M016AT:RESC3216X125N","~","Polarized capacitor"
"C4,C21","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~","Unpolarized capacitor"
"C6","1","4.7uF","","","","T491A475K016AT:RESC3216X125N","~","Polarized capacitor"
"C22","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~","Unpolarized capacitor"
"D1,D3","2","LTST-C170GKT","","","","LTST-C170GKT:LED_LTST-C170GKT","",""
"D2","1","LTST-C170TBKT","","","","LTST-C170TBKT:DIOC200X125X110","",""
"F1","1","0ZCH0110AF2E","","","","0ZCH0110AF2E:FUSC3225X100N","",""
"J1","1","SS-52400-003","","","","SS-52400-003:BELFUSE_SS-52400-003","",""
"J2","1","B2B-PH-SM4-TB","","","","B2B-PH-SM4-TB:JST_B2B-PH-SM4-TB","",""
"J3","1","GSD090012SEU","","","","GSD090012SEU:AMPHENOL_GSD090012SEU","",""
"J4","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","Generic connector, single row, 01x04, script generated"
"J5","1","Conn_01x05_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","Generic connector, single row, 01x05, script generated"
"LED1,LED2,LED3","3","LTST-C170KRKT","","","","LTST-C170KRKT:LED_LTST-C170KRKT_LTO","LTST-C170KRKT",""
"MK1","1","CMC-5042PF-AC","","","","CMC-5042PF-AC:CUI_CMC-5042PF-AC","",""
"Q2,Q3","2","BC817","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pub/Collateral/BC818-D.pdf","0.8A Ic, 45V Vce, NPN Transistor, SOT-23"
"Q4","1","TEMT6000X01","","","","TEMT6000X01:TRANS_TEMT6000X01","",""
"R1,R3,R19,R23,R25,R30,R31","7","10k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R2,R9","2","5.1k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R4","1","20k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R5,R28,R29","3","2k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R6,R7,R8,R10,R11,R12","6","470","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R13","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R14","1","22.1k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R15","1","47.5k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R16,R17,R18,R20","4","50","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R21,R22","2","4.7k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R24","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"R26,R27","2","1M","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor"
"S1,S2","2","USLPT2819DT2TR","","","","USLPT2819DT2TR:SW_USLPT2819DT2TR","",""
"TP1,TP2,TP3,TP4,TP5","5","TestPoint","","","","TestPoint:TestPoint_Pad_D1.0mm","~","test point"
"U1","1","MCP73871","","","","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.mouser.com/ds/2/268/22090a-52174.pdf","Single cell, Li-Ion/Li-Po charge management controller"
"U2","1","CP2102N-Axx-xQFN20","","","","Package_DFN_QFN:SiliconLabs_QFN-20-1EP_3x3mm_P0.5mm_EP1.8x1.8mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","USB to UART master bridge, QFN-20"
"U3","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","Very low capacitance ESD protection diode, 2 data-line, SOT-23-6"
"U4","1","W25Q32JVSSIQ","","","","W25Q32JVSSIQ:SOIC127P790X216-8N","",""
"U5","1","ESP32-C3-WROOM-02-H4","","","","ESP32-C3-WROOM-02-H4:MODULE_ESP32-C3-WROOM-02-H4","",""
"U6","1","MAX4466EXK","","","","MAX4466EXK:SOT65P210X110-5N","",""
"U7","1","BME280","","","","BME280:PSON65P250X250X100-8N","",""
"VR1","1","LM1117MPX-3.3","","","","LM1117MPX-3.3:VREG_LM1117MPX-3.3","",""
